First Name,Last Name,Username,Password,Roll,Mobile,Fee,Class,Status
James,Brown,user1,DM2iMuVQ,514,9024115932,7054,Class5,True
Olivia,Johnson,user2,yRMjJe5d,502,7245121456,7564,Class2,True
Michael,Moore,user3,J93d4CIM,671,9553187374,7625,Class2,True
Alexander,Johnson,user4,HbwSOI0P,715,7233880773,8411,Class5,True
William,Davis,user5,Bekxp4TA,469,7269157081,8794,Class3,True
William,Williams,user6,fqOInRH0,242,5998471037,6207,Class1,True
William,Miller,user7,MXg6Hrk6,720,5050907018,6597,Class5,True
Olivia,Wilson,user8,XLJO9FRe,946,4296920709,5080,Class1,True
James,Moore,user9,luwtfCKy,107,8821641719,6828,Class4,False
John,Williams,user10,U7OZJpsU,354,7865904224,6319,Class5,True
John,Brown,user11,4xOwGgL3,391,8742362156,9320,Class3,True
Ava,Williams,user12,ghyE2htG,174,1485503977,7248,Class4,False
Emma,Wilson,user13,i1OcDcrM,255,6419331715,8047,Class4,False
Alexander,Miller,user14,iOshMTRP,587,2595317159,9640,Class1,False
Isabella,Wilson,user15,Nbe5RcU0,796,9704044150,5590,Class3,True
John,Brown,user16,FDtOqoEm,553,9252306885,7866,Class3,False
John,Davis,user17,lDhtk4f2,467,7185194767,6155,Class3,False
Michael,Jones,user18,G17lIZfw,514,8376409107,8005,Class3,True
Emma,Moore,user19,9MKyO9mU,557,9265075918,6982,Class4,False
Ava,Wilson,user20,WZpmiRdc,498,7773789683,9535,Class4,True
William,Wilson,user21,vsZcSpb3,902,3039827910,6160,Class5,False
William,Wilson,user22,KtFIqfDD,315,1302474789,8912,Class4,False
Alexander,Taylor,user23,IQCeQtrU,628,3728653344,6183,Class5,False
James,Miller,user24,hvF6HRL4,256,6500291893,8095,Class2,False
John,Taylor,user25,FpUyy8H2,117,5664219692,8511,Class1,False
Ava,Johnson,user26,NNTZDSo3,568,2736801687,8679,Class5,False
John,Smith,user27,xvldN25s,443,1935782548,5184,Class4,False
James,Taylor,user28,ORfmXYEV,702,5349340948,7126,Class2,False
James,Miller,user29,fQS6LZ5g,921,6973032458,6612,Class5,False
Isabella,Davis,user30,urUdjLIX,871,0389765801,6991,Class3,True
William,Johnson,user31,L9WGGsd4,139,2827692314,9563,Class5,True
Sophia,Wilson,user32,cG7ex1x8,387,8270729976,8280,Class2,True
Isabella,Miller,user33,ht6tiXKO,274,3097248173,7732,Class4,True
Ava,Smith,user34,K8XNMjoe,112,1743475814,8862,Class4,True
James,Wilson,user35,IJ7TeOOS,345,7104534224,7638,Class5,True
James,Moore,user36,P5xC5a44,200,5442646096,6171,Class2,False
Emma,Davis,user37,9G75QYQ5,117,4735331992,7538,Class1,True
John,Brown,user38,ktUKxI6W,558,7674753960,7367,Class2,False
Michael,Moore,user39,00p0NuLX,514,1599236325,9986,Class1,False
Isabella,Taylor,user40,ps3a7UzY,149,7480935492,7285,Class3,False
John,Taylor,user41,ueepLYEv,544,4682168152,7198,Class5,False
John,Brown,user42,ZXruDFKN,656,7945805951,5783,Class5,False
Michael,Brown,user43,yy0Zxucy,523,3544782331,6132,Class5,False
James,Taylor,user44,4PNyyclO,817,5944165521,9358,Class5,False
Alexander,Wilson,user45,nw6drQrb,167,3443319153,7747,Class5,False
Olivia,Wilson,user46,UmK0jesj,794,2505615471,9510,Class5,True
William,Jones,user47,pktOBmiD,163,9838291107,8175,Class5,False
Isabella,Jones,user48,5IO8oKYI,744,7738421350,9669,Class3,True
James,Wilson,user49,Q0631Gnp,182,4516951129,6926,Class1,False
Ava,Johnson,user50,bQLXGylq,851,2028252653,7920,Class2,True
